,ID,TGS 826,TGS 822,TGS 2600,TGS 2602,Temperature,Humidity,Class
456,457,2.07,0.34,0.3,1.11,32.0,58.0,Acetone 2 ppm
457,458,1.89,0.33,0.29,1.03,32.0,58.0,Acetone 2 ppm
458,459,1.6,0.32,0.29,0.96,32.0,58.0,Acetone 2 ppm
459,460,1.4,0.31,0.28,0.9,32.0,58.0,Acetone 2 ppm
460,461,1.26,0.31,0.28,0.84,32.0,58.0,Acetone 2 ppm
461,462,1.24,0.3,0.28,0.8,32.0,58.0,Acetone 2 ppm
462,463,1.06,0.29,0.27,0.73,32.0,58.0,Acetone 2 ppm
463,464,0.82,0.29,0.27,0.66,32.0,58.0,Acetone 2 ppm
464,465,0.73,0.28,0.27,0.62,32.0,58.0,Acetone 2 ppm
465,466,0.78,0.27,0.27,0.57,32.0,58.0,Acetone 2 ppm
466,467,0.82,0.27,0.27,0.54,32.0,58.0,Acetone 2 ppm
467,468,0.83,0.27,0.26,0.51,32.0,58.0,Acetone 2 ppm
468,469,0.84,0.26,0.26,0.48,32.0,58.0,Acetone 2 ppm
469,470,0.73,0.26,0.26,0.45,32.0,58.0,Acetone 2 ppm
470,471,0.61,0.26,0.26,0.43,32.0,58.0,Acetone 2 ppm
471,472,0.56,0.25,0.25,0.41,32.0,58.0,Acetone 2 ppm
472,473,0.48,0.25,0.25,0.38,32.0,58.0,Acetone 2 ppm
473,474,0.45,0.25,0.25,0.36,32.0,58.0,Acetone 2 ppm
474,475,0.43,0.24,0.25,0.35,32.0,58.0,Acetone 2 ppm
475,476,0.4,0.24,0.25,0.33,32.0,58.0,Acetone 2 ppm
476,477,0.36,0.24,0.25,0.31,32.0,58.0,Acetone 2 ppm
