ID,TGS 826,TGS 822,TGS 2600,TGS 2602,Temperature,Humidity,Class
1459,0.06,0.15,0.23,0.27,38,41,Acetone 5 ppm
1460,0.06,0.15,0.23,0.27,38,41,Acetone 5 ppm
1461,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1462,0.06,0.15,0.23,0.27,38,41,Acetone 5 ppm
1463,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1464,0.06,0.15,0.23,0.27,38,41,Acetone 5 ppm
1465,0.06,0.15,0.23,0.27,38,41,Acetone 5 ppm
1466,0.06,0.15,0.23,0.27,38,41,Acetone 5 ppm
1467,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1468,0.06,0.15,0.23,0.27,38,41,Acetone 5 ppm
1469,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1470,0.06,0.15,0.23,0.27,38,41,Acetone 5 ppm
1471,0.06,0.15,0.23,0.27,38,41,Acetone 5 ppm
1472,0.06,0.15,0.23,0.27,38,41,Acetone 5 ppm
1473,0.06,0.15,0.23,0.27,38,41,Acetone 5 ppm
1474,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1475,0.06,0.15,0.23,0.27,38,41,Acetone 5 ppm
1476,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1477,0.06,0.15,0.23,0.27,38,41,Acetone 5 ppm
1478,0.06,0.15,0.23,0.27,38,41,Acetone 5 ppm
1479,0.06,0.15,0.23,0.27,38,41,Acetone 5 ppm
1480,0.06,0.15,0.23,0.27,38,41,Acetone 5 ppm
1481,0.06,0.15,0.23,0.27,38,41,Acetone 5 ppm
1482,0.06,0.15,0.23,0.27,38,41,Acetone 5 ppm
1483,0.06,0.15,0.23,0.27,38,41,Acetone 5 ppm
1484,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1485,0.06,0.15,0.23,0.27,38,41,Acetone 5 ppm
1486,0.06,0.15,0.23,0.27,38,41,Acetone 5 ppm
1487,0.06,0.15,0.23,0.27,38,41,Acetone 5 ppm
1488,0.06,0.15,0.23,0.27,38,41,Acetone 5 ppm
1489,0.06,0.15,0.23,0.27,38,41,Acetone 5 ppm
1490,0.06,0.15,0.23,0.27,38,41,Acetone 5 ppm
1491,0.06,0.16,0.23,0.27,38,41,Acetone 5 ppm
1492,0.06,0.15,0.23,0.27,38,41,Acetone 5 ppm
1493,0.07,0.16,0.23,0.27,38,41,Acetone 5 ppm
1494,0.07,0.16,0.23,0.27,38,41,Acetone 5 ppm
1495,0.07,0.19,0.23,0.27,38,41,Acetone 5 ppm
1496,0.07,0.22,0.23,0.27,38,41,Acetone 5 ppm
1497,0.06,0.25,0.23,0.27,38,41,Acetone 5 ppm
1498,0.07,0.37,0.23,0.27,38,41,Acetone 5 ppm
1499,0.07,0.51,0.23,0.27,38,41,Acetone 5 ppm
1500,0.07,0.53,0.23,0.27,38,41,Acetone 5 ppm
1501,0.07,0.74,0.23,0.27,38,41,Acetone 5 ppm
1502,0.07,1.31,0.23,0.27,38,41,Acetone 5 ppm
1503,0.07,1.73,0.23,0.27,38,41,Acetone 5 ppm
1504,0.07,1.95,0.23,0.27,38,41,Acetone 5 ppm
1505,0.07,2.12,0.23,0.27,38,41,Acetone 5 ppm
